"category","Male","Female"
"> 70","1486","634"
"60-69","3249","1249"
"50-59","5734","2215"
"40-49","7390","3884"
"30-39","7214","5272"
"20-29","3970","3917"
"15-19","345","330"
"< 14","25","16"
